"","filename","model","model_year","vin","price","mileage","color","transmission","engine_displacement","name_seller","street","phone","website"
"11","11.txt"," Toyota Camry SE","2013 ","4T1BF1FK4DU269358","$14,995","52,017","Exterior: Classic Silver MetallicInterior: Black","Automatic 6-Speed","2.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"12","12.txt"," Honda CR-Z","2014 ","JHMZF1D48ES002209","$16,495","17,629","Exterior: North Shore Blue PearlInterior: Black","CVT ","1.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"13","13.txt"," BMW 335 xi","2008 ","WBAVD53548A285108",NA,"93,378","Exterior: GrayInterior: Black",NA,"3.0","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"14","14.txt"," Nissan Juke SL","2013 ","JN8AF5MV7DT211274","$21,677","21,221","Exterior: Graphite BlueInterior: Black","CVT ","1.6","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"15","15.txt"," Dodge Durango SXT","2013 ","1C4RDJAG8DC693420","$26,495","23,581","Exterior: Bright White ClearcoatInterior: Medium Graystone","Automatic 5-Speed","3.6","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"16","16.txt"," Toyota Camry 4dr Sedan I4 Automatic SE","2012 ","4T1BF1FK2CU592080","$16,991","27,197","Exterior: Attitude Black MetallicInterior: Black","6-Speed AutomaticFafama Auto Sales",NA,"Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214","www.fafama.com/"
"17","17.txt"," Toyota Venza LE","2012 ","4T3ZA3BBXCU060002","$17,896","34,963","Exterior: BlackInterior: Light Gray","Automatic 6-Speed","2.7","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"18","18.txt"," Nissan Juke S","2014 ","JN8AF5MV2ET364209","$18,797","25,693","Exterior: Cayenne RedInterior: Black","CVT ","1.6","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"19","19.txt"," Toyota Corolla","2012 ","2T1BU4EE7CC880942",NA,"39,335","Exterior: BlackInterior: Gray",NA,"1.8","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"20","20.txt"," Honda Pilot EX-L","2012 ","5FNYF4H56CB028710","$26,789","30,015","Exterior: Alabaster Silver MetallicInterior: Gray","Automatic 5-Speed","3.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"21","21.txt"," Ford Fusion 4dr Sedan SE FWD","2013 ","3FA6P0HR4DR305750","$14,644","32,321","Exterior: Bordeaux ReserveInterior: Charcoal Black","6-Speed Automatic","1.6","Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214","www.fafama.com/"
"22","22.txt"," Toyota Corolla LE","2012 ","2T1BU4EE7CC880942","$13,288","38,920","Exterior: Black Sand PearlInterior: Ash",NA,"1.8","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"23","23.txt"," Nissan Rogue SL","2012 ","JN8AS5MV7CW366271","$18,488","42,795","Exterior: Brilliant Silver MetallicInterior: Black","CVT ","2.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"24","24.txt"," Chrysler 200 Touring","2013 ","1C3CCBBG9DN623897",NA,"46,752","Exterior: BlackInterior: Black",NA,"3.6","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"25","25.txt"," Mazda Mazda3 i","2013 ","JM1BL1TG1D1814382","$12,797","32,055","Exterior: Black MicaInterior: Black",NA,"2.0","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"26","26.txt"," Acura TSX 4dr Sedan I4 Automatic","2012 ","JH4CU2F4XCC010060","$18,644","35,817","Exterior: Bellanova White PearlInterior: Tan","5-Speed Automatic","2.4","Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214","www.fafama.com/"
"27","27.txt"," Toyota Corolla LE","2013 ","5YFBU4EE2DP121617","$12,389","53,335","Exterior: Black Sand PearlInterior: Ash","Manual 5-Speed","1.8","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"28","28.txt"," Volkswagen Beetle 2.5L Entry","2014 ","3VWFP7AT5EM620903","$14,998","35,283","Exterior: Black UniInterior: Black","Automatic 6-Speed","2.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"29","29.txt"," Mercedes-Benz C300","2010 ","WDDGF8BB7AR122979",NA,"82,212","Exterior: SilverInterior: Black","Automatic 7-Speed","3.0","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"30","30.txt"," MINI Cooper Base","2012 ","WMWSX1C53CT507069","$15,998","19,618","Exterior: Midnight Black MetallicInterior: Carbon Black",NA,"1.6","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"31","31.txt"," Nissan Maxima 4dr Sedan V6 CVT 3.5 SV w","2011 ","1N4AA5AP3BC861691","$18,991","58,989","Exterior: Winter Frost PearlInterior: Cafe Latte","CVT","3.5","Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214","www.fafama.com/"
"32","32.txt"," Ford Edge SEL","2013 ","2FMDK4JC9DBB23565","$25,277","36,634","Exterior: Tuxedo Black MetallicInterior: Charcoal Black","Automatic 6-Speed","3.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"33","33.txt"," Honda CR-V EX","2012 ","5J6RM4H55CL049629","$19,995","31,187","Exterior: Urban Titanium MetallicInterior: Black","Automatic 5-Speed","2.4","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"34","34.txt"," Toyota Tundra 5.7L V8","2008 ","5TBRV54158S480224",NA,"77,528","Exterior: WhiteInterior: Gray Cloth","Automatic 6-Speed","5.7","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"35","35.txt"," Mercedes-Benz C300 C300","2013 ","WDDGF8AB3DR267300","$29,595","30,403","Exterior: BlackInterior: Black","Automatic 7-Speed","3.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"36","36.txt"," Cadillac SRX Luxury","2012 ","3GYFNDE39CS560709","$25,497","32,811","Exterior: GrayInterior: Titanium","Automatic 6-Speed","3.6","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"37","37.txt"," Hyundai Tucson FWD 4dr Automatic GL","2012 ","KM8JT3AB8CU503572","$13,991","43,893","Exterior: Ash BlackInterior: Gray","6-Speed Automatic","2.0","Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214","www.fafama.com/"
"38","38.txt"," Mitsubishi Lancer GTS","2008 ","JA3AU86U28U042903","$10,797","76,511","Exterior: Tarmac Black PearlInterior: Black",NA,"2.0","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"39","39.txt"," Nissan Maxima 3.5 SV","2012 ","1N4AA5AP5CC802370","$20,458","41,155","Exterior: Super BlackInterior: Charcoal","CVT ","3.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"40","40.txt"," Ford Mustang V6","2014 ","1ZVBP8EM1E5299939",NA,"32,452","Exterior: BlackInterior: Gray",NA,"3.7","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"41","41.txt"," Nissan Rogue SL","2013 ","JN8AS5MV3DW106242","$19,998","44,782","Exterior: Graphite Blue MetallicInterior: Black","CVT ","2.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"42","42.txt"," Honda Civic LX","2012 ","2HGFB2F50CH558421","$13,277","28,715","Exterior: Crystal Black PearlInterior: Stone","Automatic 5-Speed","1.8","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"43","43.txt"," Ford Econoline Cargo Van E-250 Commercial","2012 ","1FTNE2EL1CDA17375","$17,991","83,737","Exterior: Oxford WhiteInterior: Medium flint","4-Speed Automatic","5.4","Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214","www.fafama.com/"
"44","44.txt"," Nissan Frontier","2012 ","1N6AD0EV4CC409471",NA,"72,989","Exterior: SilverInterior: Gray Cloth",NA,"4.0","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"45","45.txt"," Kia Soul 5dr Wagon Automatic ","2012 ","KNDJT2A69C7391199","$11,644","57,122","Exterior: Bright Silver MetallicInterior: Black seat trim","6-Speed Automatic","2.0","Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214","www.fafama.com/"
"46","46.txt"," Nissan Altima 4dr Sedan I4 2.5 SV","2013 ","1N4AL3AP7DC902471","$16,991","32,723","Exterior: Pearl WhiteInterior: Charcoal","Automatic","2.5","Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214","www.fafama.com/"
"47","47.txt"," Chrysler Town ","2012 ","2C4RC1BG2CR364168","$19,991","25,292","Exterior: True Blue PearlInterior: Black","6-Speed Automatic","3.6","Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214","www.fafama.com/"
"48","48.txt"," Toyota RAV4 4WD 4dr I4","2012 ","2T3BF4DV2CW206196","$17,644","38,208","Exterior: Classic Silver MetallicInterior: Gray","4-Speed Automatic","2.5","Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214","www.fafama.com/"
"49","49.txt"," Ford Fiesta 5dr Hatchback SE","2014 ","3FADP4EJXEM107699","$12,644","23,378","Exterior: Tuxedo Black MetallicInterior: Charcoal Black","5-Speed Automatic","1.6","Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214","www.fafama.com/"
"50","50.txt"," Mercedes-Benz C-Class 4dr Sedan C300 Sport 4MATIC","2011 ","WDDGF8BB8BR177605","$18,644","59,517","Exterior: Iridium Silver MetallicInterior: Black","7-Speed Automatic","3.0","Fafama Auto Sales ","5 Cape Rd Milford, MA 01757","(508) 232-6214","www.fafama.com/"
"51","51.txt"," Infiniti G37x X","2013 ","JN1CV6AR9DM762274","$23,977","38,768","Exterior: Black ObsidianInterior: Graphite","Automatic 7-Speed","3.7","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"52","52.txt"," Nissan Altima 2.5","2013 ","1N4AL3AP0DC265911","$14,998","38,875","Exterior: Storm Blue MetallicInterior: Charcoal","CVT ","2.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"53","53.txt"," Hyundai Sonata GLS","2014 ","5NPEB4AC1EH812904",NA,"41,318","Exterior: Silver","Automatic 6-Speed","2.4","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"54","54.txt"," Lexus IS 250 250","2012 ","JTHCF5C21C5056153","$25,797","25,941","Exterior: Deep Sea MicaInterior: Black","Automatic 6-Speed","2.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"55","55.txt"," BMW 328i 328i xDrive","2013 ","WBA3B5C53DF596197","$28,289","15,011","Exterior: Alpine WhiteInterior: Black","Automatic 8-Speed","2.0","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"56","56.txt"," Volkswagen Passat 2.5L S w","2014 ","1VWAP7A3XEC013553",NA,"40,207","Exterior: BlueInterior: Black","Automatic 6-Speed","2.5","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"57","57.txt"," Ford Transit Connect XLT Premium","2013 ","NM0KS9CN5DT145101","$17,995","27,422","Exterior: Noisette MetallicInterior: Dark Gray","Automatic 4-Speed","2.0","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"58","58.txt"," Nissan Altima 2.5","2014 ","1N4AL3AP3EC272207","$14,688","41,027","Exterior: Pearl WhiteInterior: Beige","CVT ","2.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"59","59.txt"," Land Rover LR4 HSE","2012 ","SALAG2D44CA628952","$42,999","18,491","Exterior: Santorini BlackInterior: Ebony","Automatic 6-Speed","5.0","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"60","60.txt"," Chevrolet Malibu 1LT","2013 ","1G11C5SA1DF334323",NA,"52,117","Exterior: SilverInterior: Black Cloth","Automatic 6-Speed","2.5","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"61","61.txt"," Nissan Altima 2.5 S","2014 ","1N4AL3AP9EC120805","$15,995","23,898","Exterior: Super BlackInterior: Charcoal","CVT ","2.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"62","62.txt"," Ford Mustang V6","2014 ","1ZVBP8EM8E5272172","$22,688","35,425","Exterior: BlackInterior: Charcoal Black",NA,"3.7","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"63","63.txt"," Acura MDX 3.7L Sport Package","2007 ","2HNYD28597H505313",NA,"100,963","Exterior: BlackInterior: Black","Automatic 5-Speed","3.7","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"64","64.txt"," GMC Acadia SLT-1","2012 ","1GKKVRED0CJ230330","$25,995","31,313","Exterior: Carbon Black MetallicInterior: Ebony","Automatic 6-Speed","3.6","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"65","65.txt"," Acura MDX 3.7L","2012 ","2HNYD2H23CH533298","$28,596","28,488","Exterior: Palladium MetallicInterior: Ebony","Automatic 6-Speed","3.7","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"66","66.txt"," Honda Civic LX","2011 ","2HGFG1B66BH510429",NA,"45,494","Exterior: WhiteInterior: Grey Cloth","Automatic 5-Speed","1.8","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"67","67.txt"," Lexus ES 350 350","2012 ","JTHBK1EG7C2492533","$24,995","22,514","Exterior: ObsidianInterior: Black","Automatic 6-Speed","3.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"68","68.txt"," Mercedes-Benz C300 C300","2013 ","WDDGF8AB8DA834213","$27,997","18,345","Exterior: BlackInterior: Black","Automatic 7-Speed","3.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"69","69.txt"," Chevrolet Sonic LT Auto","2013 ","1G1JC6SH2D4193731",NA,"51,538","Exterior: WhiteInterior: Black Cloth","Automatic 6-Speed","1.8","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"70","70.txt"," Toyota Sienna XLE","2012 ","5TDYK3DC0CS266171","$26,997","34,079","Exterior: Silver Sky MetallicInterior: Light Gray","Automatic 6-Speed","3.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"71","71.txt"," Mercedes-Benz C300 C300","2013 ","WDDGF8AB5DR272353","$25,898","33,082","Exterior: BlackInterior: Black","Automatic 7-Speed","3.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"72","72.txt"," Jeep Wrangler Unlimited Unlimited Sahara","2011 ","1J4HA5H13BL561847","$28,877","32,984","Exterior: Natural Green PearlcoatInterior: Black",NA,"3.8","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"73","73.txt"," Toyota Tacoma V6","2006 ","5TELU42N06Z148918",NA,"106,131","Exterior: GoldInterior: Tan","Automatic 5-Speed","4.0","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"74","74.txt"," Volvo V60 T5 Premier","2015 ","YV140MEB1F1199558","$28,995","25,566","Exterior: Black StoneInterior: Off-Black","Automatic 8-Speed","2.0","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"75","75.txt"," Honda Accord LX","2014 ","1HGCR2F33EA171845","$17,998","40,953","Exterior: Crystal Black PearlInterior: Black","CVT ","2.4","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"76","76.txt"," GMC Yukon XL 1500","2008 ","1GKFK16378J119606",NA,"97,250","Exterior: WhiteInterior: Blk Lthr","Automatic 4-Speed","5.3","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"77","77.txt"," Land Rover Range Rover Sport HSE","2012 ","SALSF2D40CA717845","$37,990","50,020","Exterior: 041715Interior: Ebony","Automatic 6-Speed","5.0","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"78","78.txt"," Toyota Sienna XLE","2012 ","5TDDK3DC9CS042508","$26,995","26,315","Exterior: Predawn Gray MicaInterior: Light Gray","Automatic 6-Speed","3.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"79","79.txt"," Toyota RAV4 Limited","2012 ","2T3DF4DV3CW194715","$20,697","27,755","Exterior: Pacific Blue MetallicInterior: Ash","Automatic 4-Speed","2.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"80","80.txt"," Honda Accord LX","2013 ","1HGCR2F33DA217818",NA,"35,578","Exterior: BlackInterior: Black Cloth","CVT ","2.4","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"81","81.txt"," Honda CR-Z EX","2011 ","JHMZF1C60BS004681","$12,277","36,154","Exterior: Crystal Black PearlInterior: Gray","Manual 6-Speed","1.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"82","82.txt"," Lexus ES 350 350","2012 ","JTHBK1EG4C2508915","$25,977","20,415","Exterior: ObsidianInterior: Black","Automatic 6-Speed","3.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"83","83.txt"," Nissan Xterra S","2012 ","5N1AN0NW4CC509784","$21,794","34,614","Exterior: AvalancheInterior: Gray",NA,"4.0","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"84","84.txt"," Ford C-Max Hybrid SEL","2013 ","1FADP5BU0DL536080",NA,"55,383","Exterior: BlackInterior: Blk Lthr","CVT ","2.0","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"85","85.txt"," Volvo XC60 T6","2013 ","YV4902DZ1D2454504","$29,497","27,417","Exterior: Ice WhiteInterior: Sandstone Beige","Automatic 6-Speed","3.0","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"86","86.txt"," Toyota Yaris","2010 ","JTDBT4K31A1368794",NA,"94,227","Exterior: GrayInterior: Black","Automatic 4-Speed","1.5","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"87","87.txt"," Ford F-150 XLT","2013 ","1FTFW1EF0DFC13349","$28,495","41,814","Exterior: Oxford WhiteInterior: Steel Gray","Automatic 6-Speed","5.0","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"88","88.txt"," Lexus IS 250","2009 ","JTHCK262695031859",NA,"81,136","Exterior: WhiteInterior: Tan","Automatic 6-Speed","2.5","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"89","89.txt"," Jeep Grand Cherokee Limited","2008 ","1J8HR58238C144740","$12,990","123,110","Exterior: Brilliant Black Crystal PearlcoatInterior: Dark Slate Gray",NA,"5.7","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"90","90.txt"," Nissan Rogue SV","2012 ","JN8AS5MV3CW388090","$16,998","31,470","Exterior: Graphite Blue MetallicInterior: Black","CVT ","2.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"91","91.txt"," Toyota Corolla","2012 ","2T1BU4EE7CC880942",NA,"39,335","Exterior: BlackInterior: Gray",NA,"1.8","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"92","92.txt"," Jeep Grand Cherokee Overland","2012 ","1C4RJFCT1CC139764","$29,995","27,652","Exterior: Brilliant Black Crystal PearlcoatInterior: New Saddle","Automatic","5.7","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"93","93.txt"," Chrysler 200 Touring","2013 ","1C3CCBBG9DN623897",NA,"46,752","Exterior: BlackInterior: Black",NA,"3.6","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"94","94.txt"," Mercedes-Benz C300 C300","2013 ","WDDGF8AB6DR291610","$28,495","22,159","Exterior: Steel Gray MetallicInterior: Black","Automatic 7-Speed","3.5","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"95","95.txt"," Mercedes-Benz C300","2010 ","WDDGF8BB7AR122979",NA,"82,212","Exterior: SilverInterior: Black","Automatic 7-Speed","3.0","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"96","96.txt"," Mercedes-Benz C300 C300","2012 ","WDDGF8BB7CR231381","$21,998","33,012","Exterior: Diamond WhiteInterior: Almond Beige",NA,"3.0","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"97","97.txt"," BMW 328i 328i","2012 ","WBADW7C52CE728665","$29,797","23,439","Exterior: Space Gray MetallicInterior: Oyster",NA,"3.0","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"98","98.txt"," Toyota Tundra 5.7L V8","2008 ","5TBRV54158S480224",NA,"77,528","Exterior: WhiteInterior: Gray Cloth","Automatic 6-Speed","5.7","Rt 9 Auto Sales ","1221 Worcester Rd Framingham, MA 01701","(508) 213-4680","www.rt9autos.com"
"99","99.txt"," Chrysler 200 Touring","2013 ","1C3CCBBB5DN695104","$11,998","43,738","Exterior: Black ClearcoatInterior: Black",NA,"2.4","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
"100","100.txt"," Honda CR-V EX-L","2012 ","2HKRM4H73CH604816","$23,495","37,369","Exterior: Crystal Black PearlInterior: Black","Automatic 5-Speed","2.4","Automax Preowned of Framingham ","1199 Worcester Rd Framingham, MA 01701","(508) 205-1046","automaxpreowned.com/"
