"","Year_of_publication","Authors","titile_publication","title_journal","volume","url"
"110","2004","Chiou, J., M¨¹ller, H.G. ","<U+00A0> Quasi-likelihood regression with multiple     indices and smooth link and variance functions","Scandinavian J. Statistics","31","http://anson.ucdavis.edu/%7Emueller/SJS-02-117-Chiou.pdf"
"111","2004","Chiou, J.M., M¨¹ller, H.G., Wang, J.L. "," Functional response models","Statistica Sinica","14","http://anson.ucdavis.edu/~mueller/fdr9-15.pdf"
"112","2004","M¨¹ller, H.G., Wai, N. "," Change trees and mutagrams for the     visualization of local changes in sequence data",NA,"13","http://anson.ucdavis.edu/%7Emueller/changetrees.pdf"
"113","2004","Liu, X., M¨¹ller, H.G. "," Functional convex averaging and synchronization     for time-warped random curves","J. American Statistical Association","99","http://anson.ucdavis.edu/%7Emueller/JASA02-298revised2.pdf"
"114","2003","He, G., M¨¹ller, H.G., Wang, J.L. "," Functional canonical analysis for     square integrable stochastic processes","J. Multivariate Analysis","85","http://anson.ucdavis.edu/%7Emueller/jmva2000-0132revised.pdf"
"115","2003","Chiou, J.M., M¨¹ller, H.G., Wang, J.L. "," Functional quasi-likelihood     regression with smooth random effects","J. Royal Statistical Society B","65","http://anson.ucdavis.edu/%7Emueller/functional21.pdf"
"116","2003","Hall, P., M¨¹ller, H.G. "," Order-preserving nonparametric regression,   with applications to conditional distribution and quantile function estimation","J. American Statistical Association","98","http://anson.ucdavis.edu/%7Emueller/order5-4-03.pdf"
"117","2003","Kaysen, G.A., Dubin, J.A., M¨¹ller, H.G., Mitch, W.E., Rosales, L.M., Levin,     N.W., HEMO Study Group "," Impact of albumin synthesis and inflammation in     dual regulation of fibrinogen levels in hemodialysis patients",NA,"63","http://anson.ucdavis.edu/%7Emueller/KidneyIntl03_Albumin.pdf"
"118","2003","Cargill, S.L., Carey, J.R., M¨¹ller, H.G., Andersen, G. "," Age of ovary     determines remaining life expectancy in old ovariectomized mice","Aging Cell","2","http://anson.ucdavis.edu/%7Emueller/AgingCell03_ovary.pdf"
"119","2003","M¨¹ller, H.G., Abramson, I., Azari, R. "," Nonparametric regression to the   mean","Proceedings of the National Academy of Sciences USA ","100","http://anson.ucdavis.edu/%7Emueller/regmean6-20.pdf"
"120","2003","Yao, F., M¨¹ller, H.G., Clifford, A.J., Dueker, S.R., Follett, J., Lin, Y.,     Buchholz, B., Vogel, J.S. "," Shrinkage estimation for functional principal   component scores, with application to the population kinetics of plasma folate","Biometrics","59","http://anson.ucdavis.edu/%7Emueller/shrinkage2-16.pdf"
"121","2003","Liu, X., M¨¹ller, H.G. "," Modes and clustering for time-warped gene   expression profile data","Bioinformatics","19","http://anson.ucdavis.edu/%7Emueller/bio2002-523revisednew.pdf"
"122","2003","Facer, M.,<U+00A0> M¨¹ller, H.G. "," Nonparametric estimation of the peak   location in a response surface","J. Multivariate Analysis","87","http://anson.ucdavis.edu/%7Emueller/YJMVA2149paper.pdf"
"123","2003","Chiou, J.M., M¨¹ller, H.G., Wang, J.L., Carey, J.R. "," A functional     multiplicative effects model for longitudinal data, with application to     reproductive histories of female medflies","Statistica Sinica","13","http://anson.ucdavis.edu/%7Emueller/Multiplicative94.pdf"
"124","2002","M¨¹ller, H.G., Love, B., Hoppa, R. "," A semiparametric method for     estimating paleodemographic profiles from age indicator data",NA,"116","work/semiparametricmethod2002.pdf"
"125","2002","M¨¹ller, H.G., Chiou, J.M., Carey, J.R., Wang, J.L. "," Fertility and     lifespan: Late children enhance female longevity",NA,"57","http://anson.ucdavis.edu/%7Emueller/FrCanpdf.pdf"
"126","2002","Kaysen, G.A., Dubin, J.A., M¨¹ller, H.G., Mitch, W.E., Rosales, L.M., Levin,     N.W., HEMO Study Group "," Relationships among inflammation, nutrition and     physiologic mechanisms establishing albumin levels in hemodialysis",NA,"61","work/relationshipsamonginflammation2002.pdf"
"127","2002","Carey, J.R., Liedo, P., Harshman, L., Zhang, Y., M¨¹ller, H.G., Partridge, L.,     Wang, J.L. "," A mortality cost of virginity at older ages in female     Mediterranean fruit flies","J. of Experimental Gerontology","37",NA
"128","2002","Love, B., M¨¹ller, H.G. "," A solution to the problem of obtaining a     mortality schedule for paleodemographic data",NA,NA,NA
"129","2002","M¨¹ller, H.G., Su, C.L., Dueker, S.R., Lin, Y., Clifford, A.J., Buchholz, B.,     Vogel, J.S. "," Semiparametric modeling of labeled cell kinetics, with     application to isotope labeling of erythrocytes","Biometrics","58","http://anson.ucdavis.edu/%7Emueller/redfinal9.pdf"
"130","2002","Carey, J.R., Liedo, P., Harshman, L., Zhang, Y., M¨¹ller, H.G., Partridge,     L., Wang, J.L. "," Life history response of Mediterranean fruit flies to   dietary restriction","Aging Cell","1","work/agingcell.pdf"
"131","2002","Zatzick, D.F., Kang, S.M., M¨¹ller, H.G., Russo, J.E., Rivara, F.P., Katon,     W., Jurkovich, G.J., Roy-Byrne, P. "," Predicting posttraumatic distress in     hospitalized trauma survivors with acute injuries","American J. of Psychiatry","159","work/predictingposttraumaticdistress2002.pdf"
