"","Year_of_publication","Authors","titile_publication","title_journal","volume","url"
"20","2013"," Wu, S.,  Müller,  H.G., Zhang, Z. "," Functional data analysis for point processes with rare events","Statistica Sinica","23","http://anson.ucdavis.edu/~mueller/fare19.pdf"
"21","2013"," Müller,  H.G. ","  Three papers by Peter Bickel on nonparametric curve estimation"," In: SelectedWorks of Peter J Bickel, Ed Fan, J, Ritov, Y, Wu, J, Springer, New York, p 187ff",NA,"http://anson.ucdavis.edu/~mueller/bickel4.pdf"
"22","2013"," Müller,  H.G.,  Wu, Y., Yao, F.  "," Continuously additive models for nonlinear functional regression"," Biometrika ","100","http://anson.ucdavis.edu/~mueller/cam35.pdf"
"23","2013"," Harwood, J.F., Chen, K., Müller,  H.G., Wang, J.L., Vargas, R.I., Carey, J.R. ","Effects of diet and host access on fecundity and lifespan intwo fruit fly species with different life history patterns"," Physiological Entomology","38",NA
"24","2012"," Gottlieb, A.,  Müller,  H.G. ","  A stickiness coefficient for    longitudinal data","Computational Statistics and Data Analysis","56","http://anson.ucdavis.edu/~mueller/stick3.pdf"
"25","2012"," Chen, K.,  Müller, H.G. "," Conditional quantile analysis    when covariates are functions, with application to growth data","J. Royal Statistical Society B","74","http://anson.ucdavis.edu/~mueller/fquant7.pdf"
"26","2012"," Chen, D.,  Müller, H.G. "," Nonlinear manifold    representations for functional data","Annals of Statistics","40","http://anson.ucdavis.edu/~mueller/mani9.pdf"
"27","2012"," Clifford, A.J., Chen, K., McWade, L., Rincon, G., Kim, S.H.,    Holstege, D.M., Owens, J.E., Liu, B.,  Müller, H.G., Medrano,    J.F., Fadel, J.G., Moshfegh, A.J., Baer, D.J., Novotny, J.A. ","    Gender and Single Nucleotide Polymorphisms in MTHFR,    BHMT, SPTLC1, CRBP2, CETP, and SCARB1 are significant    predictors of plasma homocysteine normalized by RBC folate in healthy adults","J. Nutrition","142",NA
"28","2012"," Verzelen, N., Tao, W., Müller, H.G.  "," Inferring    stochastic dynamics from functional data","Biometrika","99","http://anson.ucdavis.edu/~mueller/dsd_02_12_12.pdf"
"29","2012","  Carey, J.R., Müller, H.G., Wang, J.L., Papadopoulos, N.,    Diamantidis, A., Kouloussis, N. "," Graphical and demographic    synopsis of the captive cohort method for estimating population age    structure in the wild"," Experimental Gerontology","47",NA
"30","2012"," Chen, K., Müller, H.G.  "," Modeling of repeated functional observations","J. American Statistical Association","104","http://anson.ucdavis.edu/~mueller/repf15.pdf"
"31","2012"," Gottlieb, A.,  Müller, H.G.,  Massa, A.N., Wanjugi, H., Deal, K.R.,You, F.M., Xu, X., Gu, Y.Q., Luo, M.,Anderson, O.D., Chan, A.P., Rabinowicz, P., Devos, K.M., Dvorak, J. ","Insular organization of gene space in grass genomes","PLOS One","8","http://anson.ucdavis.edu/~mueller/dvorak1.pdf"
"32","2011"," Müller, H.G. "," Functional data analysis"," International Encyclopedia of Statistical Science",NA,"http://statprob.com/?op=getobj&amp;from=objects&amp;id=242"
"33","2011"," Chen, D., Hall, P., Müller, H.G. ","  Single and multiple    index functional regression models with nonparametric link"," Annals of Statistics","38","http://anson.ucdavis.edu/~mueller/hmlink_final1.pdf"
"34","2011"," Zhang, Z., Müller, H.G. ","  Functional density    synchronization"," Computational Statistics and Data Analysis","55","http://anson.ucdavis.edu/~mueller/fdw16.pdf"
"35","2011"," Yang, W., Müller, H.G., Stadtmüller, U. "," Functional    singular component analysis","J. Royal Statistical Society B","73","http://anson.ucdavis.edu/~mueller/fSVDr9.pdf"
"36","2011"," Chen, K., Chen, K., Müller, H.G., Wang, J.L. "," Stringing    high-dimensional data for functional analysis"," J American    Statistical Association  106, 275-284","106","http://anson.ucdavis.edu/~mueller/stringonline.pdf"
"37","2011","Kouloussis, N.A., Papadopoulos, N.T., Katsoyannos, B.L.,    Müller, H.G., Wang, J.L., Su, Y.R., Molleman, F., Carey, J.R.    "," Seasonal trends in Ceratitis capitata reproductive potential    derived from live-caught adult females in Greece","   Entomologia    Experimentalis et Applicata  140, 181-188","140",NA
"38","2011"," Wu, S., Müller, H.G. "," Response-adaptive regression for    longitudinal data"," Biometrics","73","http://anson.ucdavis.edu/~mueller/rare8.pdf"
"39","2010"," Müller, H.G., Yao, F. "," Empirical dynamics forlongitudinal data"," Annals of Statistics","38","http://anson.ucdavis.edu/~mueller/dynrevfinal1.pdf"
"40","2010"," Sentürk, D., Müller, H.G. "," Functional varying coefficient models forlongitudinal data","  JAmerican Statistical Association105, 1256-1264","105","http://anson.ucdavis.edu/~mueller/fvrr8.pdf"
"41","2010"," Duyck, P.F., Kouloussis, N.A., Papadopoulos, N.T., Quilici, S., Wang, J.L.,Jiang, C.R.,  Müller, H.G., Carey, J.R. "," Lifespan of a Ceratitis fruitfly increases with higher altitude","  Biological J LinneanSociety 101, 345-350","101",NA
"42","2010"," Müller, H.G., Yao, F. "," Additive modeling of functional gradients","Biometrika","97","http://anson.ucdavis.edu/~mueller/fd-rev6.pdf"
"43","2010","Müller, H.G., Yang, W. "," Dynamic relations for sparselysampled Gaussian processes","Test","19","http://anson.ucdavis.edu/~mueller/test12a.pdf"
"44","2010","Wu, Y., Fan, J.,  Müller, H.G."," Varying-coefficient functional linear regression","Bernoulli","16","http://anson.ucdavis.edu/~mueller/WuFanMueller.pdf"
"45","2010","Papadopoulos, N., Liedo, P.,  Müller, H.G., Wang, J.L.,Molleman, F., Carey, J.R. ","  Cost of reproduction inmale medflies: The primacy of sexual courting in extremelongevity reduction","J. Insect Physiology","56",NA
"46","2010","Yao, F., Müller, H.G. "," Functional quadratic regression","Biometrika","97","http://anson.ucdavis.edu/~mueller/quadreg-r2.pdf"
"47","2010","Wu, P.S., Müller, H.G. "," Functional embedding for the classification of gene expression profiles","Bioinformatics","26","http://bioinformatics.oxfordjournals.org/content/26/4/509.full.pdf+html"
"48","2010","He, G., Müller, H.G., Wang, J.L., Yang, W. "," Functional linear regressionvia canonical analysis","Bernoulli","16","http://anson.ucdavis.edu/~mueller/canreg20.pdf"
"49","2009","Tang, R., Müller, H.G. "," Time-synchronized clustering of gene expression trajectories","Biostatistics","10","http://anson.ucdavis.edu/~mueller/cluster5.pdf"
"50","2009","Müller, H.G. ","  Functional modeling of longitudinaldata","  In: Longitudinal Data Analysis (Handbooks of ModernStatistical Methods), Ed Fitzmaurice, G, Davidian, M,Verbeke, G, Molenberghs, G, Wiley, New York, 223--252",NA,"http://anson.ucdavis.edu/~mueller/alda7.pdf"
"51","2009","Papadopoulos, N., Carey, J., Liedo, P., Müller, H.G.,Sentürk, D. "," Virgin medfly females compete for mates"," Physiological Entomology 34, 238-245","34",NA
"52","2009"," Chiou, J., Müller, H.G. "," Modeling hazard rates asfunctional data for the analysis of cohort lifetables andmortality forecasting","  J American StatisticalAssociation 104, 572-585","104","http://anson.ucdavis.edu/~mueller/mortrev20.pdf"
"53","2009"," Carey, J.R.,  Liedo, P.,  Müller, H.G.,  Wang, J.L., Yang,W., Molleman, F.  "," Leg impairments elicit graded andsex-specific demographic responses in the tephritid fruit flyAnastrepha ludens","Experimental Gerontology","44",NA
"54","2009"," Sentürk, D., Müller, H.G. "," Covariate-adjustedgeneralized linear models","Biometrika","96","http://anson.ucdavis.edu/~mueller/carglmbiometrikarevfinal.pdf"
"55","2009"," Kouloussis, N.A., Papadopoulos, N.T., Müller, H.G., Wang,J.L., Mao, M.,  Katsoyannos, B.I., Duyck, P.F., Carey, J.R."," Life table assay of field-caught Mediterranean fruitflies, Ceratitis capitata, reveals age bias"," EntomologiaExperimentalis et Applicata 123, 172-181","123",NA
"56","2009"," Liu, B., Müller, H.G. "," Estimating derivatives forsamples of sparsely observed functions, with application toon-line auction dynamics"," J American StatisticalAssociation 104, 704-717","104","http://anson.ucdavis.edu/~mueller/der12_unblinded.pdf"
"57","2009"," Zou, S., Carey, J.R., Ingram, D.K., Müller, H.G., Wang, J.L.,Yao, F., Yu, B., Zhou, A. "," The prolongevity effect ofresveratrol depends on dietary composition and calorie intake in atephritid fruit fly","Experimental Gerontology","44",NA
"58","2009","  Chiou, J., Müller, H.G., Wang, J.L. "," Comment on""Functional time series forecasting"" by Hyndman, R","J. of the Korean Statistical Society","38",NA
"59","2009"," Hall, P., Müller, H.G., Yao, F. ","Estimation of functional derivatives","Annals of Statistics","37","http://anson.ucdavis.edu/~mueller/hmy15.pdf"
"60","2009"," Müller, H.G., Wu, S., Diamantidis, A.D., Papadopoulos, N.T.,Carey, J.R. ","  Reproduction is adapted to survivalcharacteristics across geographically isolated medfly populations","Proceedings of the Royal Society B","276","http://anson.ucdavis.edu/~mueller/biotypingfinal.pdf"
"61","2008","Peng, J., Müller, H.G. ","  Distance-based clustering of sparselyobserved stochastic processes, with applications to online auctions","Annals of Applied Statistics","2","http://anson.ucdavis.edu/~mueller/distance_AOAS.pdf"
"62","2008","Carey, J. R.,  Papadopoulos, N.T., Müller, H.G.,Katsoyannos, B.I., Kouloussis, N.A., Wang, J.L., Wachter, K., Yu,W., Liedo, P. "," Age structure changes and extraordinarylifespan in wild medfly populations","Aging Cell","7",NA
"63","2008","Sentürk, D., Müller, H.G. "," Generalized varying coefficient models for    longitudinal data","Biometrika","95","http://anson.ucdavis.edu/~mueller/genvcmfinal4.pdf"
"64","2008","Liu, B. & Müller, H.G. "," Functional data analysis for sparse    auction data","  Wiley & Sons, Inc,  269-290",NA,"http://anson.ucdavis.edu/~mueller/auction5.pdf"
"65","2008","Tang, R., Müller, H.G. "," Pairwise curve synchronization for high-dimensional  data","Biometrika","95","http://anson.ucdavis.edu/~mueller/warp102.pdf"
"66","2008","Müller, H.G. "," Functional modeling of longitudinal data","   Ed Fitzmaurice, G  et al, Wiley & Sons, Inc,    223-252",NA,NA
"67","2008","Carey, J. R., Harshman, L., Liedo, P., Müller, H.G., Wang, J.L., Zhen, Z. "," Longevity-fertility trade-offsin the tephritid fruit fly, Anastrepha ludens, acrossdietary-restriction gradients","Aging Cell","7",NA
"68","2008","Hall, P., Müller, H.G., Yao, F. "," Modeling sparse  generalized longitudinal observations via latent Gaussian processes","Journal of the Royal Statistical Society B","70","http://anson.ucdavis.edu/~mueller/B6559rev2.pdf"
"69","2008","Müller, H.G., Yao, F. "," Functional additive models","Journal of the American Statistical Association","103","http://anson.ucdavis.edu/~mueller/fam.pdf"
"70","2008","Hall, P., Leng, X., Müller, H.G. "," Weighted-bootstrap alignment of explanatory variables","J. Statistical Planning and Inference","138","http://anson.ucdavis.edu/~mueller/bootstrap1.pdf"
"71","2008","Müller, H.G., Chiou, J.M., Leng, X. ","    Inferring gene expression dynamics via functional regression  analysis","BMC Bioinformatics","9","http://www.biomedcentral.com/content/pdf/1471-2105-9-60.pdf"
"72","2007","Carey, J. R., Pinter-Wollman, N., Wyman, M., Müller, H.G., Molleman, F.,     Zhang, N. "," A search for principles of disability using experimental   impairment of Drosophila melanogaster","Experimental Gerontology","62",NA
"73","2007","Chen, J., Sentürk, D., Wang, J.L., Müller, H.G., Carey, J. R., Caswell, H.,     Caswell-Chen, E. P. "," A demographic analysis of the fitness cost of     extended longevity in C"," elegans Journal of Gerontology - Biological Sciences     and Medical Sciences 42, 166-172","42",NA
"74","2007","Müller, H.G. "," Linearly unbiased estimation of conditional moment and   correlation functions"," In: Advances in    Statistical Modeling and Inference Essays in Honor of Kjell A   Doksum, Ed Nair, V, World Scientific, pp 315-333",NA,"http://anson.ucdavis.edu/~mueller/mueller-final.pdf"
"75","2007","    Rogina, B, Wolverton, T., Bross, T.G.,  Chen, K.,     Müller, H.G., Carey, J.R. "," Distinct biological epochs in   the reproductive life of female Drosophila melanogaster","Mechanisms of Ageing and Development","128",NA
"76","2007","Müller, H.G., Wang, J.L., Yu, W., Delaigle, A., Carey, J. R. ","     Survival and aging in the wild via residual demography","  Theoretical Population   Biology 72, 513-522","72","http://anson.ucdavis.edu/~mueller/wildsurvrevcomplete1.pdf"
"77","2007","Chiou, J., Müller, H.G. "," Diagnostics for functional regression via     residual processes","Computational Statistics &amp; Data Analysis","51","http://anson.ucdavis.edu/~mueller/diag-corrected.pdf"
"78","2007","Müller, H.G., Wang, J.L. "," Density and failure rate    estimation"," In:  Encyclopedia of Statistics in Quality and     Reliability, Ed Ruggeri, F, Kenett, R, Faltin, FW, Wiley,   Chichester, pp 517-522",NA,NA
"79","2007","Delaigle, A., Hall, P., Müller, H.G. "," Accelerated convergence for     nonparametric regression with coarsened predictors","Annals of Statistics","35","http://anson.ucdavis.edu/~mueller/F05-233rev.pdf"
"80","2007","Müller, H.G. "," Comment on ""Nonparametric Inference with   Generalized Likelihood Ratio   Tests'' by Fan, J","Test","16",NA
"81","2006","Carey, J. R., Papadopoulos, N. T., Kouloussis, N. A., Katsoyannos, B. I.,     Müller, H.G., Wang, J.L., Tseng, Y. "," Age-specific and lifetime behavior     patterns in Drosophila melanogaster and the Mediterranean fruit fly, Ceratitis     capitata","Experimental Gerontology","41",NA
"82","2006","Kaysen, G. A., Müller, H.G., Ding, J., Chertow, G. M. "," Challenging the     validity of the erythropoietin index","American Journal of Kidney Diseases","47",NA
"83","2006","Leng, X., Müller, H.G. "," Classification using functional data analysis   for temporal gene expression data","Bioinformatics","22","http://anson.ucdavis.edu/~mueller/bioinf10-14-05.pdf"
"84","2006","Hall, P., Müller, H.G., Wu, P.S. ","  Real-time     density and mode estimation with application to time-dynamic mode     tracking","J. Computational Graphical Statistics ","15","http://anson.ucdavis.edu/~mueller/JCGS04039revised.pdf"">pdf</a>) (<a href=""http://anson.ucdavis.edu/~mueller/modetrack/modetrack.html"">animations</a>) (<a href=""http://anson.ucdavis.edu/~mueller/appendix3.pdf"
"85","2006","Müller, H.G., Wai, N. "," Asymptotic fluctuations of mutagrams","Statistics and Probability Letters","76",NA
"86","2006","Şentürk, D., Müller, H.G. "," Inference for covariate adjusted regression   via varying coefficient models","The Annals of Statistics","34","http://anson.ucdavis.edu/~mueller/AS-W03-370-4-291.pdf"
"87","2006","Hall, P., Müller, H.G., Wang, J.L. "," Properties of principal component     methods for functional and longitudinal data analysis","The Annals of Statistics","34","http://anson.ucdavis.edu/~mueller/hmwaos.pdf"
"88","2006","Müller, H.G., Stadtmüller, U., Yao, F. "," Functional variance processes","Journal of the American Statistical Association","101","http://anson.ucdavis.edu/~mueller/jasa04-443final.pdf"
"89","2006","Zhang, Y., Müller, H.G., Carey, J. R., Papadopoulos, N. T. "," Behavioral     trajectories as predictors in event history analysis: Male calling behavior     forecasts medfly longevity","Mechanisms of Ageing and Development","127","http://anson.ucdavis.edu/~mueller/callingcomplete03_07.pdf"
"90","2006","Müller, H.G., Yao, F. "," Regressing longitudinal response trajectories   on a covariate","Imperial College Press, ",NA,"http://anson.ucdavis.edu/~mueller/bickel6.pdf"
"91","2006","Leng, X., Müller, H.G. "," Time ordering of gene co-expression","Biostatistics","7","http://anson.ucdavis.edu/~mueller/biostatistics2-14.pdf"
"92","2005","Carey, J.R., Liedo, P., Müller, H.G., Wang, J.L., Zhang, Y., Harshman, L.     "," Stochastic dietary restriction:  Markov-chain feeding protocol elicits     complex life history response in medflies","Aging Cell","4",NA
"93","2005","Müller, H.G., Stadtmüller, U. "," Generalized functional linear models","Annals of Statistics","33","http://anson.ucdavis.edu/~mueller/gflm3-19-04.pdf"
"94","2005","Şentürk , D., Müller, H.G. "," Covariate adjusted regression","Biometrika","92","http://anson.ucdavis.edu/%7Emueller/zcar11-21.pdf"
"95","2005","Müller, H.G. "," Functional modeling and classification of longitudinal     data","Scandinavian J. Statistics","32","http://anson.ucdavis.edu/%7Emueller/sjsrevised.pdf"
"96","2005","Müller, H.G. "," Functional modeling and classification of longitudinal     data – Rejoinder","Scandinavian J. Statistics","32","http://anson.ucdavis.edu/%7Emueller/sjsrejoinder.pdf"
"97","2005","Yao, F., Müller, H.G., Wang, J.L. "," Functional data analysis for sparse   longitudinal data","J. American Statistical Association","100","http://anson.ucdavis.edu/%7Emueller/jasa03-190final.pdf"
"98","2005","Chiou, J.M., Müller, H.G. "," Estimated estimating equations:     semiparametric inference for clustered/longitudinal data"," J Royal Statistical   Society B 67, 531-553","67","http://anson.ucdavis.edu/%7Emueller/B5688-03-06-2005.pdf"
"99","2005","Dubin, J., Müller, H.G. ","  Dynamical correlation for multivariate   longitudinal data","J. American Statistical Association","100","http://anson.ucdavis.edu/%7Emueller/dyncorr-final.pdf"
"100","2005","Şentürk , D., Müller, H.G. "," Covariate adjusted correlation analysis   via varying coefficient models","Scandinavian J. Statistics","32","http://anson.ucdavis.edu/%7Emueller/SJS03.pdf"
"101","2005","Carey, J.R., Liedo, P., Müller, H.G,  Wang, J.L., Senturk, D., Harshman, L.     "," Biodemography of a long-lived tephritid: Reproduction and longevity in a     large cohort of female Mexican fruit flies, Anastrepha ludens"," Experimental     Gerontology 40, 793-800","40",NA
"102","2005","Müller, H.G., Zhang, Y. "," Time-varying functional regression for   predicting remaining lifetime distributions from longitudinal trajectories","Biometrics","61","http://anson.ucdavis.edu/%7Emueller/biometrics040731R3.pdf"
"103","2005","Harshman, L.G., Müller, H.G., Liu, X., Wang, Y., Carey, J.R. "," The     symmetry of longevity","J. of Gerontology -- Biological Sciences","60",NA
"104","2005","Yao, F., Müller, H.G., Wang, J.L. "," Functional Linear Regression   Analysis for Longitudinal Data","The Annals of Statistics","33","http://anson.ucdavis.edu/~mueller/sparsereg.pdf"
"105","2004","Papadopoulos, N.T.,  Katsoyannos, B.I., Kouloussis, N.A., Carey, J.R.,     Müller, H.G., Zhang, Y. "," High sexual calling rates of young individuals     predict extended life span in male Mediterranean fruit flies","Oecologia","138",NA
"106","2004","He, G., Müller, H.G., Wang, J.L. "," Methods of canonical analysis for   functional data","J. Statistical Planning and Inference","122","http://anson.ucdavis.edu/%7Emueller/cancor11-11.pdf"
"107","2004","Kaysen, G.A., Dubin, J.A., Müller, H.G., Rosales, L.M., Levin, N.W., Mitch,     W.E., HEMO Study Group "," Inflammation and reduced albumin synthesis     associated with stable decline in serum albumin in hemodialysis patients"," Kidney   International 65, 1408-1415","65",NA
"108","2004","Kaysen, G.A., Müller, H.G., Leng, X., Chertow, G.M. "," The influence of     patient- and facility-specific factors on nutritional status and survival in   hemodialysis","J. Renal Nutrition","14",NA
"109","2004","Müller, H.G., Wang, J.L., Carey, J.R., Caswell-Chen,     E.P., Chen, C., Papadopoulos, N., Yao, F. "," Demographic     window to aging in the wild: Constructing life tables and     estimating survival functions from marked individuals of unknown   age","Aging Cell","3","http://anson.ucdavis.edu/%7Emueller/wild3-17.pdf"
"110","2004","Chiou, J., Müller, H.G. ","  Quasi-likelihood regression with multiple     indices and smooth link and variance functions","Scandinavian J. Statistics","31","http://anson.ucdavis.edu/%7Emueller/SJS-02-117-Chiou.pdf"
"111","2004","Chiou, J.M., Müller, H.G., Wang, J.L. "," Functional response models","Statistica Sinica","14","http://anson.ucdavis.edu/~mueller/fdr9-15.pdf"
"112","2004","Müller, H.G., Wai, N. "," Change trees and mutagrams for the     visualization of local changes in sequence data"," J Computational Graphical   Statistics 13, 571-585","13","http://anson.ucdavis.edu/%7Emueller/changetrees.pdf"
"113","2004","Liu, X., Müller, H.G. "," Functional convex averaging and synchronization     for time-warped random curves","J. American Statistical Association","99","http://anson.ucdavis.edu/%7Emueller/JASA02-298revised2.pdf"
"114","2003","He, G., Müller, H.G., Wang, J.L. "," Functional canonical analysis for     square integrable stochastic processes","J. Multivariate Analysis","85","http://anson.ucdavis.edu/%7Emueller/jmva2000-0132revised.pdf"
"115","2003","Chiou, J.M., Müller, H.G., Wang, J.L. "," Functional quasi-likelihood     regression with smooth random effects","J. Royal Statistical Society B","65","http://anson.ucdavis.edu/%7Emueller/functional21.pdf"
"116","2003","Hall, P., Müller, H.G. "," Order-preserving nonparametric regression,   with applications to conditional distribution and quantile function estimation","J. American Statistical Association","98","http://anson.ucdavis.edu/%7Emueller/order5-4-03.pdf"
"117","2003","Kaysen, G.A., Dubin, J.A., Müller, H.G., Mitch, W.E., Rosales, L.M., Levin,     N.W., HEMO Study Group "," Impact of albumin synthesis and inflammation in     dual regulation of fibrinogen levels in hemodialysis patients"," Kidney   International 63, 315-322","63","http://anson.ucdavis.edu/%7Emueller/KidneyIntl03_Albumin.pdf"
"118","2003","Cargill, S.L., Carey, J.R., Müller, H.G., Andersen, G. "," Age of ovary     determines remaining life expectancy in old ovariectomized mice","Aging Cell","2","http://anson.ucdavis.edu/%7Emueller/AgingCell03_ovary.pdf"
"119","2003","Müller, H.G., Abramson, I., Azari, R. "," Nonparametric regression to the   mean","Proceedings of the National Academy of Sciences USA ","100","http://anson.ucdavis.edu/%7Emueller/regmean6-20.pdf"
"120","2003","Yao, F., Müller, H.G., Clifford, A.J., Dueker, S.R., Follett, J., Lin, Y.,     Buchholz, B., Vogel, J.S. "," Shrinkage estimation for functional principal   component scores, with application to the population kinetics of plasma folate","Biometrics","59","http://anson.ucdavis.edu/%7Emueller/shrinkage2-16.pdf"
"121","2003","Liu, X., Müller, H.G. "," Modes and clustering for time-warped gene   expression profile data","Bioinformatics","19","http://anson.ucdavis.edu/%7Emueller/bio2002-523revisednew.pdf"
"122","2003","Facer, M.,  Müller, H.G. "," Nonparametric estimation of the peak   location in a response surface","J. Multivariate Analysis","87","http://anson.ucdavis.edu/%7Emueller/YJMVA2149paper.pdf"
"123","2003","Chiou, J.M., Müller, H.G., Wang, J.L., Carey, J.R. "," A functional     multiplicative effects model for longitudinal data, with application to     reproductive histories of female medflies","Statistica Sinica","13","http://anson.ucdavis.edu/%7Emueller/Multiplicative94.pdf"
"124","2002","Müller, H.G., Love, B., Hoppa, R. "," A semiparametric method for     estimating paleodemographic profiles from age indicator data","  American J of     Physical Anthropology 116,1-14","116","work/semiparametricmethod2002.pdf"
"125","2002","Müller, H.G., Chiou, J.M., Carey, J.R., Wang, J.L. "," Fertility and     lifespan: Late children enhance female longevity"," J of Gerontology --     Biological Sciences 57, 202-206","57","http://anson.ucdavis.edu/%7Emueller/FrCanpdf.pdf"
"126","2002","Kaysen, G.A., Dubin, J.A., Müller, H.G., Mitch, W.E., Rosales, L.M., Levin,     N.W., HEMO Study Group "," Relationships among inflammation, nutrition and     physiologic mechanisms establishing albumin levels in hemodialysis"," Kidney     International 61, 2240-2249","61","work/relationshipsamonginflammation2002.pdf"
"127","2002","Carey, J.R., Liedo, P., Harshman, L., Zhang, Y., Müller, H.G., Partridge, L.,     Wang, J.L. "," A mortality cost of virginity at older ages in female     Mediterranean fruit flies","J. of Experimental Gerontology","37",NA
"128","2002","Love, B., Müller, H.G. "," A solution to the problem of obtaining a     mortality schedule for paleodemographic data"," Paleodemography, Ed Hoppa, R,     Vaupel, J, Cambridge University Press, pp 181-192",NA,NA
"129","2002","Müller, H.G., Su, C.L., Dueker, S.R., Lin, Y., Clifford, A.J., Buchholz, B.,     Vogel, J.S. "," Semiparametric modeling of labeled cell kinetics, with     application to isotope labeling of erythrocytes","Biometrics","58","http://anson.ucdavis.edu/%7Emueller/redfinal9.pdf"
"130","2002","Carey, J.R., Liedo, P., Harshman, L., Zhang, Y., Müller, H.G., Partridge,     L., Wang, J.L. "," Life history response of Mediterranean fruit flies to   dietary restriction","Aging Cell","1","work/agingcell.pdf"
"131","2002","Zatzick, D.F., Kang, S.M., Müller, H.G., Russo, J.E., Rivara, F.P., Katon,     W., Jurkovich, G.J., Roy-Byrne, P. "," Predicting posttraumatic distress in     hospitalized trauma survivors with acute injuries","American J. of Psychiatry","159","work/predictingposttraumaticdistress2002.pdf"
